admin,Anton,,Admin,admin@voorbeeld.com,nimda,1
test,Toon,,Tester,test@voorbeeld.com,test,5
sint,Sint,,Nicolaas,sint@5dec.es,piet,5
Henk_de_Potvis,Henk,de,Potvis,henkdepotvis@gmail.com,Henk,5
sinterklaas,nicolaas,,sinterklaas,zwartepietisnietrascistisch@gmail.com,cadeautje,5
username,surname,von,smerschkopf,ed@at.at,je,1
Fristi,Fristi,"Is Kapot",Lekker,fristi@vitaminepan.nl,nomnomnom,1
username,surname,von,smerschkopf,ed@at.at,je,1
username,surname,von,smerschkopf,ed@at.at,je,1
username,surname,von,smerschkopf,ed@at.at,je,1
username,surname,von,smerschkopf,ed@at.at,je,1
username,surname,von,smerschkopf,ed@at.at,je,1
username,surname,von,smerschkopf,ed@at.at,je,1
username,surname,von,smerschkopf,ed@at.at,je,1
username,surname,von,smerschkopf,ed@at.at,je,1
username,surname,von,smerschkopf,ed@at.at,je,1
quand,"tu ","lis ",ci,tuetm@l,wo,5
Mr.President,Donald,,Trump,Donaldduck@trump.com,Trump4P,1
